license,organization,parentCategory_id,subCategory_id
가축인공수정사,시·도 또는 농촌진흥청 국립축산과학원,1,3
농산물검사관,국립농산물품질관리원,1,3
농산물품질관리사,한국산업인력공단,1,3
말조련사,한국마사회,1,3
장제사,한국마사회,1,3
산림기술자,산림청,1,3
수산질병관리사,한국해양수산연수원,1,3
방사선취급감독자면허,한국원자력안전기술원,1,3
방사성동위원소취급자일반면허,한국원자력안전기술원,1,3
가축인공수정사,시·도 또는 농촌진흥청 국립축산과학원,1,3
농산물검사관,국립농산물품질관리원,1,3
농산물품질관리사,한국산업인력공단,1,3
말조련사,한국마사회,1,3
장제사,한국마사회,1,3
산림기술자,산림청,1,3
수산질병관리사,한국해양수산연수원,1,3
방사선취급감독자면허,한국원자력안전기술원,1,3
방사성동위원소취급자일반면허,한국원자력안전기술원,1,3
자동차운전면허,도로교통공단 운전면허본부,1,3
자동차운전전문학원강사,도로교통공단 운전면허본부,1,3
자동차운전전문학원기능검정원,도로교통공단 운전면허본부,1,3
택시운전자격,한국교통안전공단,1,3
화물운송종사자격,한국교통안전공단,1,3
경량항공기조종사,한국교통안전공단,1,3
군항공교통관제사,공군정보통신학교,1,3
부조종사,한국교통안전공단,1,3
사업용조종사,한국교통안전공단,1,3
운항관리사,한국교통안전공단,1,3
자가용조종사,한국교통안전공단,1,3
항공교통관제사,한국교통안전공단,1,3
항공기관사,한국교통안전공단,1,3
항공사,한국교통안전공단,1,3
구명정조종사,지방해양수산청,1,3
기관사,한국해양수산연수원,1,3
도선사,해양수산부,1,3
동력수상레저기구조종면허,지정 시험대행기관(전국 32개 조정면허시험장 등),1,3
수면비행선박조종사,한국해양수산연수원,1,3
운항사,한국해양수산연수원,1,3
항해사,한국해양수산연수원,1,3
철도운행안전관리자,한국철도운전기술협회,1,3
철도차량운전면허,한국교통안전공단,1,3
환경측정분석사,국립환경인재개발원,1,3
정수시설운영관리사,한국산업인력공단,1,3
환경교육사,국가환경교육센터(환경보전협회),1,3
교통안전관리자,한국교통안전공단,1,3
산업보건지도사,한국산업인력공단,1,3
소방시설관리사,한국산업인력공단,1,3
소방안전교육사,한국산업인력공단,1,3
화재조사관,소방청 교육훈련담당관,1,3
보험계리사,보험개발원,1,3
보험중개사,보험개발원,1,3
손해사정사,보험개발원,1,3
공인중개사,한국산업인력공단,1,3
경영지도사,한국산업인력공단,1,3
기술지도사,한국산업인력공단,1,3
주택관리사,한국산업인력공단,1,3
감정사,한국산업인력공단,1,3
감정평가사,한국산업인력공단,1,3
검량사,한국산업인력공단,1,3
검수사,한국산업인력공단,1,3
공인회계사,금융감독원,1,3
관세사,한국산업인력공단,1,3
보세사,한국관세물류협회,1,3
원자로조종감독자면허,한국원자력안전기술원,1,3
원자로조종사면허,한국원자력안전기술원,1,3
핵연료물질취급감독자면허,한국원자력안전기술원,1,3
핵연료물질취급자면허,한국원자력안전기술원,1,3
철도안전전문기술자,"한국전기철도기술협회, 한국철도신호기술협회, 한국철도시설협회, 한국철도차량엔지니어링 ",1,3
항공정비사,한국교통안전공단,1,3
무선통신사,한국방송통신전파진흥원,1,3
아마추어무선기사,한국방송통신전파진흥원,1,3
통신사,한국해양수산연수원,1,3
자동차운전면허,도로교통공단 운전면허본부,1,3
자동차운전전문학원강사,도로교통공단 운전면허본부,1,3
자동차운전전문학원기능검정원,도로교통공단 운전면허본부,1,3
택시운전자격,한국교통안전공단,1,3
화물운송종사자격,한국교통안전공단,1,3
경량항공기조종사,한국교통안전공단,1,3
군항공교통관제사,공군정보통신학교,1,3
부조종사,한국교통안전공단,1,3
사업용조종사,한국교통안전공단,1,3
운항관리사,한국교통안전공단,1,3
자가용조종사,한국교통안전공단,1,3
항공교통관제사,한국교통안전공단,1,3
항공기관사,한국교통안전공단,1,3
항공사,한국교통안전공단,1,3
구명정조종사,지방해양수산청,1,3
기관사,한국해양수산연수원,1,3
도선사,해양수산부,1,3
동력수상레저기구조종면허,지정 시험대행기관(전국 32개 조정면허시험장 등),1,3
수면비행선박조종사,한국해양수산연수원,1,3
운항사,한국해양수산연수원,1,3
항해사,한국해양수산연수원,1,3
철도운행안전관리자,한국철도운전기술협회,1,3
철도차량운전면허,한국교통안전공단,1,3
환경측정분석사,국립환경인재개발원,1,3
정수시설운영관리사,한국산업인력공단,1,3
환경교육사,국가환경교육센터(환경보전협회),1,3
교통안전관리자,한국교통안전공단,1,3
