keyword,title,host,dueDate,viewCount,coverImage,parentCategory_id,subCategory_id
디자인,[2024 경기도 구석구석 관광테마골목 육성사업]식사동 구제거리 리유저,경기관광공사,D-11,256,https://cf-cpi.campuspick.com/activity/1727681639217464_thumb.jpg,1,4
"기획/아이디어,디자인,IT/소프트웨어/게임",2024 디지털창업 경진대회,"교육부,한국연구재단",D-11,931,https://cf-cpi.campuspick.com/activity/1727670272631936_thumb.jpg,1,4
"기획/아이디어,사진/영상/UCC",전남 관광 영상 공모전 ‘전남의 매력을 담다’,전라남도청,D-2,507,https://cf-cpi.campuspick.com/activity/1727344099393384_thumb.jpg,1,4
광고/마케팅,"2024년 식품산업통계정보(FIS, The외식) 활용사례 공모",aT한국농수산식품유통공사,D-1,723,https://cf-cpi.campuspick.com/activity/1727330883857346_thumb.jpg,1,4
예체능,2024 영암 달빛뮤직페스티벌 달빛가요제 참가자모집,영암군,D-13,360,https://cf-cpi.campuspick.com/activity/17272767536484_thumb.jpg,1,4
사진/영상/UCC,2024년 제1회 전국디카시대전 공모전,디카시문학협회,D-3,982,https://cf-cpi.campuspick.com/activity/1727240363905468_thumb.jpg,1,4
문학/수기/시나리오,제8회 스틸에세이 공모전,경상북도 포항시,D-13,829,https://cf-cpi.campuspick.com/activity/1727239438470459_thumb.jpg,1,4
예체능,[한국정보산업연합회] ICT멘토링 로고송&징글 공모전,한국정보산업연합회,D-14,169,https://cf-cpi.campuspick.com/activity/1727156184128239_thumb.jpg,1,4
기획/아이디어,2024 청년 정책제안 대회,충북인재평생교육진흥원,D-4,"1,210",https://cf-cpi.campuspick.com/activity/1727152269128921_thumb.jpg,1,4
기획/아이디어,2024 제3회 오픈데이터포럼 해커톤,"행정안전부, 한국지능정보사회진흥원",D-12,578,https://cf-cpi.campuspick.com/activity/172714963564497_thumb.jpg,1,4
기획/아이디어,제4회 해양수산부장관배 해양플랜트 서비스산업 아이디어 경진대회,해양수산부,D-4,621,https://cf-cpi.campuspick.com/activity/1727064658169675_thumb.jpg,1,4
"사진/영상/UCC,디자인",2024 대국민 콘텐츠 공모전 <내가 경험한 KAIA>,국토교통과학기술진흥원,D-6,819,https://cf-cpi.campuspick.com/activity/1726902815277786_thumb.jpg,1,4
기획/아이디어,제7회 전국 청년 아이디어톤 대회,"수원시, 아주대학교",D-13,604,https://cf-cpi.campuspick.com/activity/1726811567066110_thumb.jpg,1,4
사진/영상/UCC,2024년 금정관광사진 공모전,금정구 문화관광과,D-11,336,https://cf-cpi.campuspick.com/activity/1726735637897816_thumb.jpg,1,4
기획/아이디어,2024 대학연합 HSP 성과공유대회,"한성대학교, 학생성공센터, 대학혁신지원사업센터",D-10,273,https://cf-cpi.campuspick.com/activity/172671310412234_thumb.jpg,1,4
"사진/영상/UCC,디자인",2024 해양안전 콘텐츠 공모전,해양수산부ㆍ해양경찰청ㆍ해양안전실천본부,D-4,722,https://cf-cpi.campuspick.com/activity/1726632584594854_thumb.jpg,1,4
"기획/아이디어,IT/소프트웨어/게임",미래산업 활용 아이디어 공모전,경기테크노파크,D-7,"2,180",https://cf-cpi.campuspick.com/activity/1726201725111671_thumb.jpg,1,4
"기획/아이디어,기타",2024 경북 AI·서비스로봇산업 창업역량강화 실전캠프,한국로봇융합연구원,D-4,351,https://cf-cpi.campuspick.com/activity/1726734360546199_thumb.jpg,1,4
"사진/영상/UCC,디자인",「제3회 응급의료 주간」응급실 이용문화 탐구 숏폼 공모전,국립중앙의료원,D-3,897,https://cf-cpi.campuspick.com/activity/172601827776260_thumb.jpg,1,4
사진/영상/UCC,서울 자치경찰 숏폼 영상 공모전 개최,서울시 자치경찰위원회,D-DAY,606,https://cf-cpi.campuspick.com/activity/1727070158991980_thumb.jpg,1,4
문학/수기/시나리오,"제42회 마로니에 여성 백일장(총상금 4,000만원)",한국문화예술위원회,D-1,"2,034",https://cf-cpi.campuspick.com/activity/1726127599428287_thumb.jpg,1,4
